,Paper_ID,Question_ID,Question_Type,Question_Text,Token_Text,Word_Count
18,0460_m17_qp_22.pdf,(i),SUB,"On Fig. 3, use a labelled arrow to show the position of the lake at Lough Luirk. [1]",arrow position lake,86
19,0460_m17_qp_22.pdf,(ii),SUB,"Using the map, complete the cross section on Fig. 3. [2]",map cross section,58
20,0460_m17_qp_22.pdf,(f),SUB,"Using map evidence, give reasons for the growth of the settlement at Ballyvaghan. [Total: 20 marks] thgieh height",evidence reasons growth settlement Total marks thgieh height,115
21,0460_m17_qp_22.pdf,2,MAIN,Study Fig. 4 and Table 1 (opposite). Fig. 4 shows the population density of the states of India in 2011. Table 1 (opposite) shows the states of India ranked in order of population density in 2011. The states in Fig. 4 are numbered in the rank order of population density shown in Table 1. Content removed due to copyright restrictions. Fig. 4,population density states opposite states order population density states rank order population density Content restrictions,343
22,0460_m17_qp_22.pdf,(a),SUB,Describe the distribution of population shown on Fig. 4.,distribution population,58
23,0460_m17_qp_22.pdf,(b),SUB,Table 1 shows how the population of the states has changed between the 2001 and 2011 censuses. The population change for the whole of India was +18%. Table 1 State Rank in % change State Rank in % change 2011 since 2001 2011 since 2001 Bihar 1 +25 Gujarat 15 +19 West Bengal 2 +14 Orissa 16 +14 Kerala 3 +5 Madhya 17 +20 Pradesh Uttar 4 +20 Rajasthan 18 +22 Pradesh Haryana 5 +20 Uttarakhand 19 +19 Tamil Nadu 6 +16 Chhattisgarh 20 +23 Punjab 7 +14 Meghalaya 21 +28 Jharkhand 8 +22 Jammu and 22 +24 Kashmir Assam 9 +17 Himachal 23 +13 Pradesh Goa 10 +8 Manipur 24 +18 Maharashtra 11 +16 Nagaland 25 –1 Tripura 12 +15 Sikkim 26 +13 Karnataka 13 +16 Mizoram 27 +24 Andhra 14 +11 Arunachal 28 +31 Pradesh Pradesh,population states censuses population change whole change change +24,711
24,0460_m17_qp_22.pdf,(i),SUB, Which state had the greatest percentage increase in population? ,state percentage increase population,65
25,0460_m17_qp_22.pdf,(ii),SUB, Which state had a decrease in population? ,state decrease population,43
26,0460_m17_qp_22.pdf,(c),SUB,"Compared to the change for the whole of India of +18%, how has population changed in the states:",change whole population states,98
27,0460_m17_qp_22.pdf,(i),SUB, in the south; ,south,15
28,0460_m17_qp_22.pdf,(ii),SUB,in the north east? [Total: 8 marks] BLANK PAGE,east Total marks,48
29,0460_m17_qp_22.pdf,3,MAIN,"Study Photograph A (Insert), which shows a rural area in South Africa. ",area,71
30,0460_m17_qp_22.pdf,(a),SUB, Describe how relief has influenced the site of the settlement. ,relief site settlement,64
31,0460_m17_qp_22.pdf,(b),SUB, Describe the land use of the area surrounding the settlement. ,land use area settlement,63
32,0460_m17_qp_22.pdf,(c),SUB,What evidence in the photograph shows that the settlement has a water supply? [Total: 8 marks],evidence photograph settlement water supply Total marks,96
33,0460_m17_qp_22.pdf,4,MAIN,"Study Fig. 5, which shows a student’s field sketch of a coastal area. river mouth Fig. 5",student field sketch area river mouth,89
34,0460_m17_qp_22.pdf,(a),SUB," Identify landforms A, B, C and D. Choose your answers from the list below. arch bay cave spit dune headland reef stack ",answers list arch bay headland reef stack,120
35,0460_m17_qp_22.pdf,(b),SUB,Fig. 6 shows a map of the same area.,map area,38
36,0460_m17_qp_22.pdf,0,MAIN,"1 Y land Fig. 6 Which one of points W, X, Y and Z on Fig. 6 shows the place from which the student drew the field sketch (Fig. 5)?",land points place student field sketch,131
37,0460_m17_qp_22.pdf,(c),SUB,Describe three conditions under which coral reefs develop. [Total: 8 marks],conditions reefs Total marks,77
38,0460_m17_qp_22.pdf,5,MAIN,Figs. 7 and 8 show climate information of two places with a hot desert climate. J F M A M J J A S O N D months Fig. 7 J F M A M J J A S O N D months Fig. 8,show information places desert climate months months,156
39,0460_m17_qp_22.pdf,(a),SUB,The place shown on Fig. 7 has 5 mm of rainfall and a temperature of 19 °C in November. Complete Fig. 7 by adding this information. [2],place mm rainfall temperature °C information,136
40,0460_m17_qp_22.pdf,(b),SUB,Calculate the annual range of temperature at the place shown on Fig. 7. erutarepmet erutarepmet llafniar llafniar,range temperature place erutarepmet llafniar llafniar,115
41,0460_m17_qp_22.pdf,(c),SUB,Which one of the two places is in the southern hemisphere? Tick (3) Place shown in Fig. 7 Place shown in Fig. 8 Explain your choice.,places hemisphere Place choice,134
42,0460_m17_qp_22.pdf,(d),SUB, Describe the difference in summer temperatures between the two places. ,difference summer temperatures places,72
43,0460_m17_qp_22.pdf,(e),SUB,"Explain why hot deserts, like the places shown in Figs. 7 and 8, have very dry climates. [Total: 8 marks]",deserts places climates Total marks,107
44,0460_m17_qp_22.pdf,6,MAIN,Photographs B and C (Insert) show places where renewable energy sources have been developed. ,show energy sources,93
45,0460_m17_qp_22.pdf,(a),SUB, Identify the renewable energy source in each photograph. ,energy source photograph,58
46,0460_m18_qp_22.pdf,1,MAIN,"Study the map extract for Haukeland, Norway. The scale is 1:25 000.",map extract scale,68
47,0460_m18_qp_22.pdf,(a),SUB,"Fig. 1.1 shows some of the features in the north of the map extract around the lake of Haukelandsvatnet. Study Fig. 1.1 and the map extract, and answer the questions below. Fig. 1.1 Using the map extract, identify the following features shown on Fig. 1.1:",features north map extract lake map extract questions map extract features,257
48,0460_m18_qp_22.pdf,(b),SUB,Fig. 1.2 shows the position of some features in the south east of the map extract. Two contours have been marked.,position features east map extract contours,115
49,0460_m18_qp_22.pdf,95,MAIN,"Z Fig. 1.2 Which letter, V, W, X, Y or Z, shows the position of a:",letter position,67
50,0460_m18_qp_22.pdf,(c),SUB,Give the six-figure grid reference of the feature at T on Fig. 1.2.,six-figure reference feature,69
51,0460_m18_qp_22.pdf,(d),SUB, Look at the railway which runs from the western edge of the map to the station at Haukeland ,Look railway edge map station,93
52,0460_m18_qp_22.pdf,(Haukeland Stasjon),SUB,at 045969.,,12
53,0460_m18_qp_22.pdf,(i),SUB,Measure the distance in metres along this part of the railway. Tick one correct answer below. Tick (3),Measure distance metres part railway correct answer,104
54,0460_m18_qp_22.pdf,(ii),SUB, Describe the route of this part of the railway. ,route part railway,49
55,0460_m18_qp_22.pdf,(e),SUB,Fig. 1.3 is a cross section along northing 960 from 050960 to 080960. 600 P 600 height height,section height height,95
56,0460_m18_qp_22.pdf,(metres),SUB,"Fig. 1.3 Which letter, P, Q, R or S, shows the position of a:",letter position,64
57,0460_m18_qp_22.pdf,2,MAIN,The United Nations publishes the Human Development Index (HDI) which shows the level of development of each country. This is shown on Fig. 2.1. Equator Key Human Development Index (HDI) very high medium data unavailable high low I = India Fig. 2.1,level development country medium data,248
58,0460_m18_qp_22.pdf,(b),SUB,(i) Which one of the following statements describes the HDI of countries in Asia? Tick one box below. Tick (3) mostly high mostly very high none are low,statements countries box none,154
59,0460_m18_qp_22.pdf,(ii),SUB,Which one of the following statements describes the HDI of countries in Africa? Tick one box below. Tick (3) all are low mostly low none are high,statements countries box none,147
60,0460_m18_qp_22.pdf,(iii),SUB, Which one of the following statements describes the HDI of countries in the tropics ,statements countries tropics,85
61,0460_m18_qp_22.pdf,(between 23–°N and 23–°S),SUB,? Tick one box below. Tick (3) mostly high none are high mostly low and medium,box none medium,79
62,0460_m18_qp_22.pdf,(c),SUB,Fig. 2.2 shows how incomes have risen in India between 1980 and 2012. This is shown by Gross National Income per capita (GNI). GNI GNI per 3000 3000 per capita capita,incomes capita capita capita,168
63,0460_m18_qp_22.pdf,(US $),SUB,Fig. 2.2,,11
64,0460_m18_qp_22.pdf,(i),SUB,India’s GNI per capita in 1995 was 2100 US$. Plot this information to complete the graph on Fig. 2.2. [1],capita information graph,107
65,0460_m18_qp_22.pdf,(ii),SUB,During which period did incomes in India increase the most? Tick one box below. Tick (3) 1980 to 1990 1990 to 2000 2000 to 2010,period incomes box,129
66,0460_m18_qp_22.pdf,(iii),SUB,Use Fig. 2.2 to complete the table below to show the increase in India’s GNI per capita between 1980 and 2012. GNI per capita increase,table increase capita capita increase,136
67,0460_m18_qp_22.pdf,(d),SUB,"The Human Development Index (HDI) is a composite index based on: • incomes (GNI per capita) • education • life expectancy. Between 1980 and 2012, India’s HDI has not risen as rapidly as incomes. Suggest why.",index incomes capita education life expectancy incomes,209
68,0460_m18_qp_22.pdf,3,MAIN,"Fig. 3.1 (Insert) is a photograph which shows two housing areas in Cape Town, South Africa. One area is in the foreground and the other area is in the background. For each area, describe the houses. Houses in the foreground of the photograph (area X) Houses in the background of the photograph (area Y)",photograph housing areas area foreground area background area houses Houses foreground photograph area background photograph area,303
69,0460_m18_qp_22.pdf,4,MAIN,"Study Fig. 4.1, which shows plates, plate margins and directions of plate movement. Eurasian Plate African 5 Plate Indian Pacific Plate Australian Antarctic Plate Key plate margin plate movement Fig. 4.1",plates plate margins directions movement margin plate movement,204
70,0460_m18_qp_22.pdf,(a),SUB,"Six places, 1 – 6, are marked on the map. For each of the following questions write one number in each box. You may use any of the numbers 1 – 6 once, more than once or not at Which number on the map shows a place where:",places map questions number box numbers number map place,222
71,0460_m18_qp_22.pdf,(i),SUB,a plate is being destroyed; [1],plate,33
72,0460_m18_qp_22.pdf,(ii),SUB,sea floor spreading is taking place; [1],sea floor spreading place,42
73,0460_m18_qp_22.pdf,(iii),SUB,there are no major earthquakes; [1],earthquakes,37
74,0460_m18_qp_22.pdf,(iv),SUB,there are volcanoes; [1],volcanoes,26
75,0460_m18_qp_22.pdf,(v),SUB,there is a chain of fold mountains? [1],chain fold mountains,41
76,0460_m18_qp_22.pdf,(b),SUB, Name each of the following: ,following,29
77,0460_m18_qp_22.pdf,(i),SUB, the reservoir of molten rock beneath an active volcano; ,reservoir rock beneath volcano,57
78,0460_m18_qp_22.pdf,(ii),SUB, a type of volcano formed from layers of lava and ash; ,type volcano layers lava ash,55
79,0460_m18_qp_22.pdf,(iii),SUB," a type of wide, gently sloping volcano formed mainly from basalt lava. ",type volcano basalt lava,72
80,0460_m18_qp_22.pdf,5,MAIN,"(a) Study Fig. 5.1 (Insert), which is a photograph which shows a hot desert area in Africa. Using evidence from Fig. 5.1 only, describe the features and the distribution of the vegetation shown in the photograph.",photograph desert area evidence features distribution vegetation photograph,213
81,0460_m18_qp_22.pdf,(b),SUB, Explain how the vegetation of hot deserts has adapted to: ,vegetation deserts,59
82,0460_m18_qp_22.pdf,(i),SUB, reach water deep underground; ,reach water underground,31
83,0460_m18_qp_22.pdf,(ii),SUB, reduce water loss by transpiration; ,water loss transpiration,37
84,0460_m18_qp_22.pdf,(iii),SUB, catch rain before it evaporates. ,catch rain,34
85,0460_m18_qp_22.pdf,6,MAIN,"(a) Table 6.1 shows the employment structure of the Maldives, a group of islands with a large tourist industry. Table 6.1 Sector Employment (%) primary 4 secondary 23 tertiary 73 Use information from Table 6.1 to complete Fig. 6.1 below. [2] primary secondary tertiary Fig. 6.1",Table employment structure group islands tourist industry information,278
86,0460_m18_qp_22.pdf,(b),SUB,Fig. 6.2 shows features of the development of the tourist industry on a tropical island. Most investment is by transnational tourist companies Some hotels are Cruise ships begin staffed by foreign to visit the port workers tropical island Some companies start tours of Hotels are built along the coast and coral reefs the coast Fig. 6.2 Tourism is likely to have advantages and disadvantages for the island and its people. Using information from Fig. 6.2 explain in your own words:,shows features development tourist industry island investment tourist companies hotels ships port workers companies tours Hotels coast reefs coast Tourism advantages disadvantages island people information explain words,483
87,0460_m18_qp_22.pdf,(i),SUB, two possible economic advantages; ,advantages,35
88,0460_m18_qp_22.pdf,(ii),SUB, two possible economic disadvantages; ,disadvantages,38
89,0460_m18_qp_22.pdf,(iii),SUB, one possible environmental benefit; ,benefit,37
90,0460_m19_qp_22.pdf,1,MAIN,"Study the map extract for Åhus, Sweden. The scale is 1:50 000.",map extract Åhus scale,63
91,0460_m19_qp_22.pdf,(a),SUB,"Fig. 1.1 shows the area around the mouth of the Möllerännan river in the main settlement of Åhus. Study Fig. 1.1 and the map extract, and answer the questions below. Fig. 1.1 Using the map extract, identify the land use in each of the following areas shown on Fig. 1.1:",area mouth river settlement map extract questions map extract land use areas,271
92,0460_m19_qp_22.pdf,(i),SUB, area A ,area,8
93,0460_m19_qp_22.pdf,(ii),SUB, area B ,area,8
94,0460_m19_qp_22.pdf,(iii),SUB, area C ,area,8
95,0460_m19_qp_22.pdf,(iv),SUB, area D. ,area,9
96,0460_m19_qp_22.pdf,(b),SUB, Look at the Möllerännan river in the south west of the map extract. Describe the human and physical features of the river. ,Look river west map extract features river,124
97,0460_m19_qp_22.pdf,(c),SUB, Describe the shape of the coastline between the main settlement at Åhus and the north edge of the map. ,shape coastline settlement edge map,104
98,0460_m19_qp_22.pdf,(d),SUB,The location of the small settlement at Fårabäck is shown on Fig. 1.2. Fig. 1.2 Give map evidence that suggests that Fårabäck is a tourist settlement.,location settlement map evidence tourist settlement,152
99,0460_m19_qp_22.pdf,(e),SUB,Find the small settlements of Nygård (6004) and Landön (6303) in the north east of the map extract.,settlements east map extract,101
100,0460_m19_qp_22.pdf,(i),SUB, Measure the distance along the public road from the north edge of the map at Nygård to the end of the road at Landön. Give your answer in metres. ,Measure distance road edge map end road answer metres,147
101,0460_m19_qp_22.pdf,(ii),SUB, Give the compass direction from the end of the road at Nygård to the end of the road at Landön. ,compass direction end road end road,97
102,0460_m19_qp_22.pdf,(iii),SUB, Measure the bearing from the end of the road at Nygård to the end of the road at Landön. ,Measure bearing end road end road,90
103,0460_m19_qp_22.pdf,(iv),SUB, What is the six-figure grid reference of the end of the public road at Landön? Tick one box below. Tick (✓) ,reference end road box,109
104,0460_m19_qp_22.pdf,(f),SUB,"Fig. 1.3 shows the area of a military firing range in the centre of the map extract. The area is surrounded by a thick, dashed blue line. Fig. 1.3 Describe the relief of the area of the firing range.",area firing range centre map extract area thick line relief area firing range,201
105,0460_m19_qp_22.pdf,2,MAIN,"Fig. 2.1 shows population migration to and from California, USA, between 2001 and 2013. 300 international migration migration 100",shows population migration migration migration,130
106,0460_m19_qp_22.pdf,(thousands),SUB,migration migration to/from other parts of USA Fig. 2.1,migration migration parts,57
107,0460_m19_qp_22.pdf,(a),SUB,(i) Complete Fig. 2.1 to show net migration of 210 000 in 2003. [1],migration,69
108,0460_m19_qp_22.pdf,(ii),SUB,"Using Fig. 2.1, describe international migration to and from California between 2001 and 2013. Use statistics and years in your answer.",migration statistics years answer,137
109,0460_m19_qp_22.pdf,(iii),SUB,Migration has caused an increase in California’s total population between 2001 and 2013. Use information from Fig. 2.1 to explain this.,Migration increase population information,137
110,0460_m19_qp_22.pdf,(b),SUB,Fig. 2.2 shows population migration for five areas of California from 2012 to 2013. Alameda Contra Francisco Mateo Santa Clara migration to/from other parts of USA international migration Fig. 2.2,shows population migration areas migration parts migration,198
111,0460_m19_qp_22.pdf,(i),SUB, Calculate the population change due to migration in Contra Costa. ,population change migration,67
112,0460_m19_qp_22.pdf,(ii),SUB,Which of the areas shown on Fig. 2.2 had the greatest number of people leaving for other areas of the USA?,areas number people areas,108
113,0460_m19_qp_22.pdf,(iii),SUB,Which of the areas shown on Fig. 2.2 had the greatest population growth due to migration?,areas population growth,91
114,0460_m19_qp_22.pdf,3,MAIN,Fig. 3.1 shows air pollution by fine particles in the area around Delhi for one day. Rohini Ghaziabad Dwarka Gurgaon Faridabad pollution levels very high medium high low main road centre of Delhi Fig. 3.1,shows air pollution particles area day pollution levels medium road centre,205
115,0460_m19_qp_22.pdf,(a),SUB,Describe the distribution of air pollution shown in Fig. 3.1.,distribution air pollution,63
116,0460_m19_qp_22.pdf,(b),SUB,Fig. 3.2 shows the pattern of air pollution by fine particles in Delhi for the same day. 00:00 06:00 12:00 18:00 24:00 H M M M M M M M M M H H H M M M M M H H H VHVHVH pollution level L low M medium H high VH very high Fig. 3.2 Describe the pattern of air pollution during this day.,pattern air pollution particles day pollution level medium pattern air pollution day,284
117,0460_m19_qp_22.pdf,(c),SUB,"Vehicles may be an important source of air pollution by fine particles in Delhi. Using Figs. 3.1 and 3.2, give evidence for and against this. Evidence for vehicles being an important source of air pollution. Evidence against vehicles being an important source of air pollution.",Vehicles source air pollution particles evidence Evidence vehicles source air pollution Evidence vehicles source air pollution,279
118,0460_m19_qp_22.pdf,4,MAIN,(a) Name the following processes which operate in a drainage basin. Choose your answers from the list below: interception infiltration throughflow groundwater flow overland flow ,Name following drainage basin answers list interception infiltration groundwater flow overland flow,178
119,0460_m19_qp_22.pdf,(i),SUB,water moving through the rock …………………………………………… [1],water rock,53
120,0460_m19_qp_22.pdf,(ii),SUB,rain soaking into the ground. …………………………………………… [1],rain ground,53
121,0460_m19_qp_22.pdf,(b),SUB,Figs. 4.1 and 4.2 (Insert) are photographs which show the same river in Madeira on two different days.,river days,104
122,0460_m19_qp_22.pdf,(i),SUB,"Using Fig. 4.1, describe what has been done to the channel of the river to reduce flooding and erosion.",describe channel river flooding erosion,105
123,0460_m19_qp_22.pdf,(ii),SUB,Describe and explain the differences in the river and its load on the day shown in Fig. 4.1 and on the other day shown in Fig. 4.2.,differences river load day day,133
124,0460_m19_qp_22.pdf,5,MAIN,"Study Fig. 5.1, which shows instruments A and B, which are used to measure the weather. Instrument A Instrument B Fig. 5.1",instruments weather Instrument,123
125,0460_m19_qp_22.pdf,(a),SUB, Name the two weather instruments. ,weather instruments,35
126,0460_m19_qp_22.pdf,(i),SUB, Instrument A ……………………………...…………… ,Instrument …………………………… ……………,34
127,0460_m19_qp_22.pdf,(ii),SUB,Instrument B ……………………………...…………… [2],Instrument ……………………………,38
128,0460_m19_qp_22.pdf,(b),SUB," Using the information shown on Instrument A, state: ",information state,53
129,0460_m19_qp_22.pdf,(i),SUB, the present temperature ,temperature,25
130,0460_m19_qp_22.pdf,(ii),SUB, the maximum temperature since the instrument was reset ,temperature instrument,56
131,0460_m19_qp_22.pdf,(iii),SUB, the minimum temperature since the instrument was reset. ,temperature instrument,57
132,0460_m19_qp_22.pdf,(c),SUB,"Look at the information shown on Instrument B. Does this show that the air is saturated? Tick the correct box below. Tick (✓) air is saturated (relative humidity is 100%) air is unsaturated (relative humidity is less than 100%) Using evidence from Instrument B on Fig. 5.1, explain your choice.",Look information show air correct box air humidity air humidity evidence choice,296
133,0460_m19_qp_22.pdf,6,MAIN,(a) Fig. 6.1 shows an agricultural system. Inputs Processes Outputs Examples: Examples: Examples: climate harvesting animals for sale machinery sowing meat soil weeding milk Fig. 6.1 Complete Fig. 6.1 by adding each of the following examples in the correct column. crops chemical fertiliser,system Examples Examples climate harvesting animals sale machinery meat soil milk examples column crops fertiliser,291
134,0460_m19_qp_22.pdf,(b),SUB,Fig. 6.2 (Insert) is a photograph which shows an agricultural area in South Africa.,photograph area,85
135,0460_m19_qp_22.pdf,(i),SUB, Describe the fields and land use shown in the photograph. ,fields land photograph,59
136,0460_m20_qp_22.pdf,1,MAIN,"Study the map extract for Aywaille, Belgium. The scale is 1:50 000.",map extract scale,68
137,0460_m20_qp_22.pdf,(a),SUB,"Fig. 1.1 shows some of the features in the north west part of the map extract. Study Fig. 1.1 and the map extract, and answer the questions below. Fig. 1.1 Using the map extract, identify the following features shown in Fig. 1.1:",features part map extract map extract questions map extract features,231
138,0460_m20_qp_22.pdf,(i),SUB, the type of road at A ,type road,23
139,0460_m20_qp_22.pdf,(ii),SUB, feature B ,feature,11
140,0460_m20_qp_22.pdf,(iii),SUB, feature C ,feature,11
141,0460_m20_qp_22.pdf,(iv),SUB, the height above sea level at D ,height sea level,33
142,0460_m20_qp_22.pdf,(v),SUB, the land use at E ,land use,19
143,0460_m20_qp_22.pdf,(vi),SUB, the height above sea level of the contour at F. ,height sea level contour,49
144,0460_m20_qp_22.pdf,(b),SUB, Find the motorway that runs from the north edge of the map extract to the south edge of the map extract. ,motorway edge map extract edge map extract,106
145,0460_m20_qp_22.pdf,(i),SUB, Measure the distance along the motorway from the north edge of the map to the south edge of the map. Give your answer in metres. ,Measure distance motorway edge map edge map answer metres,130
146,0460_m20_qp_22.pdf,(ii),SUB, Measure the compass bearing from the point where the motorway meets the north edge of the map to the point where the motorway meets the south edge of the map. ,Measure compass bearing point motorway edge map point motorway edge map,160
147,0460_m20_qp_22.pdf,(c),SUB,Fig. 1.2 shows an area in the north east of the map at Hestroumont. Fig. 1.3 shows an area in the south east of the map at Haute Desnié. Study the two areas and answer the questions below. Haute DesniØ Hestroumont Fig. 1.2 Fig. 1.3 The table below compares the features of the two areas. Complete the table by putting ticks in the correct five boxes. Use only one tick for each row. Area in Area in Both of Neither of Fig. 1.2 at Fig. 1.3 at these areas these areas Hestroumont Haute Desnié secondary road trees or woodland linear settlement flat land land over 400 m above sea level,area east map area east map areas questions table features areas table ticks boxes tick row areas areas road trees settlement land land sea level,585
148,0460_m20_qp_22.pdf,(d),SUB, Look at the railway in the south west of the map extract. Describe the route of the railway. ,Look railway west map extract route railway,94
149,0460_m20_qp_22.pdf,(e),SUB,Fig. 1.4 is a cross section along easting 94 from 940960 in the north to 940920 in the south. The cross section runs through the settlement at Nonceveux. Nonceveux 400 X 400 metres above metres above sea level 200 200 sea level,section north south cross section settlement metres metres sea level sea level,229
150,0460_m20_qp_22.pdf,(north),SUB,(south) Fig. 1.4,south,18
151,0460_m20_qp_22.pdf,(i),SUB, Identify the feature at X. ,feature,28
152,0460_m20_qp_22.pdf,(ii),SUB, Identify the feature at Y. ,feature,28
153,0460_m20_qp_22.pdf,(iii),SUB, Identify the feature at Z. ,feature,28
154,0460_m20_qp_22.pdf,(iv),SUB,"The cross section shown in Fig. 1.4 is incomplete. Using information from the map extract, draw a line in Fig. 1.4 to complete the cross section. [1] TURN PAGE FOR QUESTION 2",cross section information map extract line cross section,176
155,0460_m20_qp_22.pdf,2,MAIN,Fig. 2.1 shows the population densities of countries in Africa. Tropic of Cancer Equator population density,population densities countries population density,108
156,0460_m20_qp_22.pdf,(people per km2),SUB,more than 120 less than 16 SSoouutthh AAffrriiccaa Fig. 2.1,,61
157,0460_m20_qp_22.pdf,(a),SUB,"(i) State the population density of South Africa, shown in Fig. 2.1.",population density,70
158,0460_m20_qp_22.pdf,(ii),SUB,"Using Fig. 2.1, describe the distribution of countries with 81 – 120 people per km2.",distribution countries people km2,86
159,0460_m20_qp_22.pdf,(b),SUB,Fig. 2.2 shows the areas of equatorial and hot desert climates in Africa. Tropic of Cancer Equator equatorial climate hot desert climate Tropic of Capricorn Fig. 2.2,areas desert climates climate desert climate,167
160,0460_m20_qp_22.pdf,(i),SUB,"Using Figs. 2.1 and 2.2, describe the population density of the area of hot desert south of the equator.",population density area desert south equator,106
161,0460_m20_qp_22.pdf,(ii),SUB,"In Fig. 2.1, use the letter D to label a hot desert country which is densely populated.",letter desert country,89
162,0460_m20_qp_22.pdf,(c),SUB,"Using Figs. 2.1 and 2.2, describe the population density of the area of equatorial climate.",population density area climate,93
163,0460_m20_qp_22.pdf,3,MAIN,"Fig. 3.1 describes the eruption of Mount Agung in 2017. Mount Agung is an active strato-volcano in Bali, Indonesia. In September 2017, the area around the volcano experienced 844 earthquakes, including 350 on 26 September, and about 122 500 people were evacuated from their houses. On 21 November, an ash cloud from the summit reached 3842 metres above sea level and later grew to 9144 metres. Early on Saturday 25 November, some airlines cancelled flights bound for Australia and New Zealand. An orange glow was later observed around the crater at night, suggesting that fresh magma was moving to the surface. On 12 December a picture of the crater was taken showing a steadily growing lava dome occupying approximately one third of the crater. The eruption later reduced to minor emissions of steam and smoke. Fig. 3.1",eruption strato-volcano area volcano earthquakes people houses cloud summit metres sea level metres airlines flights bound orange glow crater night magma surface picture crater third crater eruption emissions steam smoke,821
164,0460_m20_qp_22.pdf,(a),SUB,Each of the following definitions describes a volcanic feature mentioned in Fig. 3.1. Identify each feature from its definition.,definitions feature feature definition,130
165,0460_m20_qp_22.pdf,(i),SUB, molten rock below the ground ,molten rock ground,30
166,0460_m20_qp_22.pdf,(ii),SUB, a depression at the top of a volcanic cone ,depression top cone,44
167,0460_m20_qp_22.pdf,(iii),SUB, a volcano made up of alternate layers of lava and ash ,volcano layers lava ash,55
168,0460_m20_qp_22.pdf,(b),SUB,"Using Fig. 3.1, identify the earliest sign that Mount Agung was about to erupt in 2017.",sign,89
169,0460_m20_qp_22.pdf,(c),SUB,"Using Fig. 3.1, identify the final event of the 2017 eruption.",event eruption,64
170,0460_m20_qp_22.pdf,(d),SUB,"Fig. 3.2 shows the location of Bali and the islands of Indonesia. EURASIAN PLATE Java Sea Mount Agung AUSTRALIAN on Bali Indian direction of plate movement plate boundary active volcano Fig. 3.2 Using information from Fig. 3.2, explain why there are active volcanoes in Indonesia.",location islands direction movement plate volcano information volcanoes,282
171,0460_m20_qp_22.pdf,4,MAIN,Fig. 4.1 shows the climate of a hot desert area in the southern hemisphere. temperature rainfall J F M A M J J A S O N D months Fig. 4.1,climate desert area hemisphere temperature rainfall months,137
172,0460_m20_qp_22.pdf,(a),SUB,For the climate shown in Fig. 4.1 state the:,climate state,46
173,0460_m20_qp_22.pdf,(i),SUB, January temperature ,temperature,21
174,0460_m20_qp_22.pdf,(ii),SUB, annual temperature range. ,temperature range,27
175,0460_m20_qp_22.pdf,(b),SUB,"(i) For the climate shown in Fig. 4.1, which is the wet season? Circle one correct answer below. winter spring summer autumn",climate wet season correct answer winter spring summer autumn,126
176,0460_m20_qp_22.pdf,(ii),SUB,What is the annual rainfall of the area shown in Fig. 4.1? Circle one correct answer below.,rainfall area correct answer,93
