Paper_ID,Question_ID,Question_Type,Question_Text,Token_Text,Word_Count
0460_m17_qp_22.pdf,(e),SUB, Fig. 3 is a cross section through the summit (top) of Moneen Mountain from 240077 to 290077. Fig. 3 ,cross section summit top Moneen Mountain,101
0460_m17_qp_22.pdf,(i),SUB," On Fig. 3, use a labelled arrow to show the position of the lake at Lough Luirk. [1] ",use labelled arrow show position lake Lough Luirk,86
0460_m17_qp_22.pdf,(ii),SUB," Using the map, complete the cross section on Fig. 3. [2] ",Using map complete cross section,58
0460_m17_qp_22.pdf,(f),SUB," Using map evidence, give reasons for the growth of the settlement at Ballyvaghan. [Total: 20 marks] thgieh height ",Using map evidence give reason growth settlement Ballyvaghan Total mark thgieh height,115
0460_m17_qp_22.pdf,2 ,MAIN,Study Fig. 4 and Table 1 (opposite). Fig. 4 shows the population density of the states of India in 2011. Table 1 (opposite) shows the states of India ranked in order of population density in 2011. The states in Fig. 4 are numbered in the rank order of population density shown in Table 1. Content removed due to copyright restrictions. Fig. 4 ,Study Table opposite show population density state India Table opposite show state India ranked order population density state numbered rank order population density shown Table Content removed due copyright restriction,343
0460_m17_qp_22.pdf,(a),SUB, Describe the distribution of population shown on Fig. 4. ,Describe distribution population shown,58
0460_m17_qp_22.pdf,(b),SUB, Table 1 shows how the population of the states has changed between the 2001 and 2011 censuses. The population change for the whole of India was +18%. Table 1 State Rank in % change State Rank in % change 2011 since 2001 2011 since 2001 Bihar 1 +25 Gujarat 15 +19 West Bengal 2 +14 Orissa 16 +14 Kerala 3 +5 Madhya 17 +20 Pradesh Uttar 4 +20 Rajasthan 18 +22 Pradesh Haryana 5 +20 Uttarakhand 19 +19 Tamil Nadu 6 +16 Chhattisgarh 20 +23 Punjab 7 +14 Meghalaya 21 +28 Jharkhand 8 +22 Jammu and 22 +24 Kashmir Assam 9 +17 Himachal 23 +13 Pradesh Goa 10 +8 Manipur 24 +18 Maharashtra 11 +16 Nagaland 25 –1 Tripura 12 +15 Sikkim 26 +13 Karnataka 13 +16 Mizoram 27 +24 Andhra 14 +11 Arunachal 28 +31 Pradesh Pradesh ,Table show population state changed census population change whole India +18 Table State Rank change State Rank change since since Bihar +25 Gujarat +19 West Bengal +14 Orissa +14 Kerala +5 Madhya +20 Pradesh Uttar +20 Rajasthan +22 Pradesh Haryana +20 Uttarakhand +19 Tamil Nadu +16 Chhattisgarh +23 Punjab +14 Meghalaya +28 Jharkhand +22 Jammu +24 Kashmir Assam +17 Himachal +13 Pradesh Goa +8 Manipur +18 Maharashtra +16 Nagaland –1 Tripura +15 Sikkim +13 Karnataka +16 Mizoram +24 Andhra +11 Arunachal +31 Pradesh Pradesh,711
0460_m17_qp_22.pdf,(i),SUB, Which state had the greatest percentage increase in population? ,state greatest percentage increase population,65
0460_m17_qp_22.pdf,(ii),SUB, Which state had a decrease in population? ,state decrease population,43
0460_m17_qp_22.pdf,(c),SUB," Compared to the change for the whole of India of +18%, how has population changed in the states: ",Compared change whole India +18 population changed state,98
0460_m17_qp_22.pdf,(i),SUB, in the south; ,south,15
0460_m17_qp_22.pdf,(ii),SUB, in the north east? [Total: 8 marks] BLANK PAGE ,north east Total mark BLANK PAGE,48
0460_m17_qp_22.pdf,3 ,MAIN,"Study Photograph A (Insert), which shows a rural area in South Africa. ",Study Photograph Insert show rural area South Africa,71
0460_m17_qp_22.pdf,(a),SUB, Describe how relief has influenced the site of the settlement. ,Describe relief influenced site settlement,64
0460_m17_qp_22.pdf,(b),SUB, Describe the land use of the area surrounding the settlement. ,Describe land use area surrounding settlement,63
0460_m17_qp_22.pdf,(c),SUB, What evidence in the photograph shows that the settlement has a water supply? [Total: 8 marks] ,evidence photograph show settlement water supply Total mark,96
0460_m17_qp_22.pdf,4 ,MAIN,"Study Fig. 5, which shows a student’s field sketch of a coastal area. river mouth Fig. 5 ",Study show student field sketch coastal area river mouth,89
0460_m17_qp_22.pdf,(a),SUB," Identify landforms A, B, C and D. Choose your answers from the list below. arch bay cave spit dune headland reef stack ",Identify landforms D. Choose answer list arch bay cave spit dune headland reef stack,120
0460_m17_qp_22.pdf,(b),SUB, Fig. 6 shows a map of the same area. ,show map area,38
0460_m17_qp_22.pdf,0 ,MAIN,"1 Y land Fig. 6 Which one of points W, X, Y and Z on Fig. 6 shows the place from which the student drew the field sketch (Fig. 5)? ",land one point show place student drew field sketch,131
0460_m17_qp_22.pdf,(c),SUB, Describe three conditions under which coral reefs develop. [Total: 8 marks] ,Describe three condition coral reef develop Total mark,77
0460_m17_qp_22.pdf,5 ,MAIN,Figs. 7 and 8 show climate information of two places with a hot desert climate. J F M A M J J A S O N D months Fig. 7 J F M A M J J A S O N D months Fig. 8 ,show climate information two place hot desert climate month month,156
0460_m17_qp_22.pdf,(a),SUB, The place shown on Fig. 7 has 5 mm of rainfall and a temperature of 19 °C in November. Complete Fig. 7 by adding this information. [2] ,place shown mm rainfall temperature °C November Complete adding information,136
0460_m17_qp_22.pdf,(b),SUB, Calculate the annual range of temperature at the place shown on Fig. 7. erutarepmet erutarepmet llafniar llafniar ,Calculate annual range temperature place shown 7. erutarepmet erutarepmet llafniar llafniar,115
0460_m17_qp_22.pdf,(c),SUB, Which one of the two places is in the southern hemisphere? Tick (3) Place shown in Fig. 7 Place shown in Fig. 8 Explain your choice. ,one two place southern hemisphere Tick Place shown Place shown Explain choice,134
0460_m17_qp_22.pdf,(d),SUB, Describe the difference in summer temperatures between the two places. ,Describe difference summer temperature two place,72
0460_m17_qp_22.pdf,(e),SUB," Explain why hot deserts, like the places shown in Figs. 7 and 8, have very dry climates. [Total: 8 marks] ",Explain hot desert like place shown dry climate Total mark,107
0460_m17_qp_22.pdf,6 ,MAIN,Photographs B and C (Insert) show places where renewable energy sources have been developed. ,Photographs Insert show place renewable energy source developed,93
0460_m17_qp_22.pdf,(a),SUB, Identify the renewable energy source in each photograph. ,Identify renewable energy source photograph,58
0460_m18_qp_22.pdf,1 ,MAIN,"Study the map extract for Haukeland, Norway. The scale is 1:25 000. ",Study map extract Haukeland Norway scale 1:25,68
0460_m18_qp_22.pdf,(a),SUB," Fig. 1.1 shows some of the features in the north of the map extract around the lake of Haukelandsvatnet. Study Fig. 1.1 and the map extract, and answer the questions below. Fig. 1.1 Using the map extract, identify the following features shown on Fig. 1.1: ",show feature north map extract around lake Haukelandsvatnet Study map extract answer question Using map extract identify following feature shown,257
0460_m18_qp_22.pdf,(b),SUB, Fig. 1.2 shows the position of some features in the south east of the map extract. Two contours have been marked. ,show position feature south east map extract Two contour marked,115
0460_m18_qp_22.pdf,95 ,MAIN,"Z Fig. 1.2 Which letter, V, W, X, Y or Z, shows the position of a: ",letter show position,67
0460_m18_qp_22.pdf,(c),SUB, Give the six-figure grid reference of the feature at T on Fig. 1.2. ,Give six-figure grid reference feature,69
0460_m18_qp_22.pdf,(d),SUB, Look at the railway which runs from the western edge of the map to the station at Haukeland ,Look railway run western edge map station Haukeland,93
0460_m18_qp_22.pdf,(Haukeland Stasjon),SUB, at 045969. ,,12
0460_m18_qp_22.pdf,(i),SUB, Measure the distance in metres along this part of the railway. Tick one correct answer below. Tick (3) ,Measure distance metre along part railway Tick one correct answer Tick,104
0460_m18_qp_22.pdf,(ii),SUB, Describe the route of this part of the railway. ,Describe route part railway,49
0460_m18_qp_22.pdf,(e),SUB, Fig. 1.3 is a cross section along northing 960 from 050960 to 080960. 600 P 600 height height ,cross section along northing height height,95
0460_m18_qp_22.pdf,(metres),SUB,"  Fig. 1.3 Which letter, P, Q, R or S, shows the position of a: ",letter show position,64
0460_m18_qp_22.pdf,2 ,MAIN,The United Nations publishes the Human Development Index (HDI) which shows the level of development of each country. This is shown on Fig. 2.1. Equator Key Human Development Index (HDI) very high medium data unavailable high low I = India Fig. 2.1 ,United Nations publishes Human Development Index HDI show level development country shown Equator Key Human Development Index HDI high medium data unavailable high low India,248
0460_m18_qp_22.pdf,(b),SUB, (i) Which one of the following statements describes the HDI of countries in Asia? Tick one box below. Tick (3) mostly high mostly very high none are low ,one following statement describes HDI country Asia Tick one box Tick mostly high mostly high none low,154
0460_m18_qp_22.pdf,(ii),SUB, Which one of the following statements describes the HDI of countries in Africa? Tick one box below. Tick (3) all are low mostly low none are high ,one following statement describes HDI country Africa Tick one box Tick low mostly low none high,147
0460_m18_qp_22.pdf,(iii),SUB, Which one of the following statements describes the HDI of countries in the tropics ,one following statement describes HDI country tropic,85
0460_m18_qp_22.pdf,(between 23–°N and 23–°S),SUB,? Tick one box below. Tick (3) mostly high none are high mostly low and medium ,Tick one box Tick mostly high none high mostly low medium,79
0460_m18_qp_22.pdf,(c),SUB, Fig. 2.2 shows how incomes have risen in India between 1980 and 2012. This is shown by Gross National Income per capita (GNI). GNI GNI per 3000 3000 per capita capita ,show income risen India shown Gross National Income per caput GNI GNI GNI per per caput caput,168
0460_m18_qp_22.pdf,(US $),SUB,  Fig. 2.2 ,,11
0460_m18_qp_22.pdf,(i),SUB, India’s GNI per capita in 1995 was 2100 US$. Plot this information to complete the graph on Fig. 2.2. [1] ,India GNI per caput US Plot information complete graph,107
0460_m18_qp_22.pdf,(ii),SUB, During which period did incomes in India increase the most? Tick one box below. Tick (3) 1980 to 1990 1990 to 2000 2000 to 2010 ,period income India increase Tick one box Tick,129
0460_m18_qp_22.pdf,(iii),SUB, Use Fig. 2.2 to complete the table below to show the increase in India’s GNI per capita between 1980 and 2012. GNI per capita increase ,Use complete table show increase India GNI per caput GNI per caput increase,136
0460_m18_qp_22.pdf,(d),SUB," The Human Development Index (HDI) is a composite index based on: • incomes (GNI per capita) • education • life expectancy. Between 1980 and 2012, India’s HDI has not risen as rapidly as incomes. Suggest why. ",Human Development Index HDI composite index based income GNI per caput education life expectancy India HDI risen rapidly income Suggest,209
0460_m18_qp_22.pdf,3 ,MAIN,"Fig. 3.1 (Insert) is a photograph which shows two housing areas in Cape Town, South Africa. One area is in the foreground and the other area is in the background. For each area, describe the houses. Houses in the foreground of the photograph (area X) Houses in the background of the photograph (area Y) ",Insert photograph show two housing area Cape Town South Africa One area foreground area background area describe house Houses foreground photograph area Houses background photograph area,303
0460_m18_qp_22.pdf,4 ,MAIN,"Study Fig. 4.1, which shows plates, plate margins and directions of plate movement. Eurasian Plate African 5 Plate Indian Pacific Plate Australian Antarctic Plate Key plate margin plate movement Fig. 4.1 ",Study show plate plate margin direction plate movement Eurasian Plate African Plate Indian Pacific Plate Australian Antarctic Plate Key plate margin plate movement,204
0460_m18_qp_22.pdf,(a),SUB," Six places, 1 – 6, are marked on the map. For each of the following questions write one number in each box. You may use any of the numbers 1 – 6 once, more than once or not at Which number on the map shows a place where: ",Six place marked map following question write one number box may use number number map show place,222
0460_m18_qp_22.pdf,(i),SUB, a plate is being destroyed; [1] ,plate destroyed,33
0460_m18_qp_22.pdf,(ii),SUB, sea floor spreading is taking place; [1] ,sea floor spreading taking place,42
0460_m18_qp_22.pdf,(iii),SUB, there are no major earthquakes; [1] ,major earthquake,37
0460_m18_qp_22.pdf,(iv),SUB, there are volcanoes; [1] ,volcano,26
0460_m18_qp_22.pdf,(v),SUB, there is a chain of fold mountains? [1] ,chain fold mountain,41
0460_m18_qp_22.pdf,(b),SUB, Name each of the following: ,Name following,29
0460_m18_qp_22.pdf,(i),SUB, the reservoir of molten rock beneath an active volcano; ,reservoir molten rock beneath active volcano,57
0460_m18_qp_22.pdf,(ii),SUB, a type of volcano formed from layers of lava and ash; ,type volcano formed layer lava ash,55
0460_m18_qp_22.pdf,(iii),SUB," a type of wide, gently sloping volcano formed mainly from basalt lava. ",type wide gently sloping volcano formed mainly basalt lava,72
0460_m18_qp_22.pdf,5 ,MAIN,"(a) Study Fig. 5.1 (Insert), which is a photograph which shows a hot desert area in Africa. Using evidence from Fig. 5.1 only, describe the features and the distribution of the vegetation shown in the photograph. ",Study Insert photograph show hot desert area Africa Using evidence describe feature distribution vegetation shown photograph,213
0460_m18_qp_22.pdf,(b),SUB, Explain how the vegetation of hot deserts has adapted to: ,Explain vegetation hot desert adapted,59
0460_m18_qp_22.pdf,(i),SUB, reach water deep underground; ,reach water deep underground,31
0460_m18_qp_22.pdf,(ii),SUB, reduce water loss by transpiration; ,reduce water loss transpiration,37
0460_m18_qp_22.pdf,(iii),SUB, catch rain before it evaporates. ,catch rain evaporates,34
0460_m18_qp_22.pdf,6 ,MAIN,"(a) Table 6.1 shows the employment structure of the Maldives, a group of islands with a large tourist industry. Table 6.1 Sector Employment (%) primary 4 secondary 23 tertiary 73 Use information from Table 6.1 to complete Fig. 6.1 below. [2] primary secondary tertiary Fig. 6.1 ",Table show employment structure Maldives group island large tourist industry Table Sector Employment primary secondary tertiary Use information Table complete primary secondary tertiary,278
0460_m18_qp_22.pdf,(b),SUB, Fig. 6.2 shows features of the development of the tourist industry on a tropical island. Most investment is by transnational tourist companies Some hotels are Cruise ships begin staffed by foreign to visit the port workers tropical island Some companies start tours of Hotels are built along the coast and coral reefs the coast Fig. 6.2 Tourism is likely to have advantages and disadvantages for the island and its people. Using information from Fig. 6.2 explain in your own words: ,show feature development tourist industry tropical island investment transnational tourist company hotel Cruise ship begin staffed foreign visit port worker tropical island company start tour Hotels built along coast coral reef coast Tourism likely advantage disadvantage island people Using information explain word,483
0460_m18_qp_22.pdf,(i),SUB, two possible economic advantages; ,two possible economic advantage,35
0460_m18_qp_22.pdf,(ii),SUB, two possible economic disadvantages; ,two possible economic disadvantage,38
0460_m18_qp_22.pdf,(iii),SUB, one possible environmental benefit; ,one possible environmental benefit,37
0460_m19_qp_22.pdf,1 ,MAIN,"Study the map extract for Åhus, Sweden. The scale is 1:50 000. ",Study map extract Åhus Sweden scale 1:50,63
0460_m19_qp_22.pdf,(a),SUB," Fig. 1.1 shows the area around the mouth of the Möllerännan river in the main settlement of Åhus. Study Fig. 1.1 and the map extract, and answer the questions below. Fig. 1.1 Using the map extract, identify the land use in each of the following areas shown on Fig. 1.1: ",show area around mouth Möllerännan river main settlement Åhus Study map extract answer question Using map extract identify land use following area shown,271
0460_m19_qp_22.pdf,(i),SUB, area A ,area,8
0460_m19_qp_22.pdf,(ii),SUB, area B ,area,8
0460_m19_qp_22.pdf,(iii),SUB, area C ,area,8
0460_m19_qp_22.pdf,(iv),SUB, area D. ,area,9
0460_m19_qp_22.pdf,(b),SUB, Look at the Möllerännan river in the south west of the map extract. Describe the human and physical features of the river. ,Look Möllerännan river south west map extract Describe human physical feature river,124
0460_m19_qp_22.pdf,(c),SUB, Describe the shape of the coastline between the main settlement at Åhus and the north edge of the map. ,Describe shape coastline main settlement Åhus north edge map,104
0460_m19_qp_22.pdf,(d),SUB, The location of the small settlement at Fårabäck is shown on Fig. 1.2. Fig. 1.2 Give map evidence that suggests that Fårabäck is a tourist settlement. ,location small settlement Fårabäck shown Give map evidence suggests Fårabäck tourist settlement,152
0460_m19_qp_22.pdf,(e),SUB, Find the small settlements of Nygård (6004) and Landön (6303) in the north east of the map extract. ,Find small settlement Nygård Landön north east map extract,101
0460_m19_qp_22.pdf,(i),SUB, Measure the distance along the public road from the north edge of the map at Nygård to the end of the road at Landön. Give your answer in metres. ,Measure distance along public road north edge map Nygård end road Landön Give answer metre,147
0460_m19_qp_22.pdf,(ii),SUB, Give the compass direction from the end of the road at Nygård to the end of the road at Landön. ,Give compass direction end road Nygård end road Landön,97
0460_m19_qp_22.pdf,(iii),SUB, Measure the bearing from the end of the road at Nygård to the end of the road at Landön. ,Measure bearing end road Nygård end road Landön,90
0460_m19_qp_22.pdf,(iv),SUB, What is the six-figure grid reference of the end of the public road at Landön? Tick one box below. Tick (✓) ,six-figure grid reference end public road Landön Tick one box Tick,109
0460_m19_qp_22.pdf,(f),SUB," Fig. 1.3 shows the area of a military firing range in the centre of the map extract. The area is surrounded by a thick, dashed blue line. Fig. 1.3 Describe the relief of the area of the firing range. ",show area military firing range centre map extract area surrounded thick dashed blue line Describe relief area firing range,201
0460_m19_qp_22.pdf,2 ,MAIN,"Fig. 2.1 shows population migration to and from California, USA, between 2001 and 2013. 300 international migration migration 100 ",show population migration California USA international migration migration,130
0460_m19_qp_22.pdf,(thousands),SUB, migration migration to/from other parts of USA Fig. 2.1 ,migration migration to/from part USA,57
0460_m19_qp_22.pdf,(a),SUB, (i) Complete Fig. 2.1 to show net migration of 210 000 in 2003. [1] ,Complete show net migration,69
0460_m19_qp_22.pdf,(ii),SUB," Using Fig. 2.1, describe international migration to and from California between 2001 and 2013. Use statistics and years in your answer. ",Using describe international migration California Use statistic year answer,137
0460_m19_qp_22.pdf,(iii),SUB, Migration has caused an increase in California’s total population between 2001 and 2013. Use information from Fig. 2.1 to explain this. ,Migration caused increase California total population Use information explain,137
0460_m19_qp_22.pdf,(b),SUB, Fig. 2.2 shows population migration for five areas of California from 2012 to 2013. Alameda Contra Francisco Mateo Santa Clara migration to/from other parts of USA international migration Fig. 2.2 ,show population migration five area California Alameda Contra Francisco Mateo Santa Clara migration to/from part USA international migration,198
0460_m19_qp_22.pdf,(i),SUB, Calculate the population change due to migration in Contra Costa. ,Calculate population change due migration Contra Costa,67
0460_m19_qp_22.pdf,(ii),SUB, Which of the areas shown on Fig. 2.2 had the greatest number of people leaving for other areas of the USA? ,area shown greatest number people leaving area USA,108
0460_m19_qp_22.pdf,(iii),SUB, Which of the areas shown on Fig. 2.2 had the greatest population growth due to migration? ,area shown greatest population growth due migration,91
0460_m19_qp_22.pdf,3 ,MAIN,Fig. 3.1 shows air pollution by fine particles in the area around Delhi for one day. Rohini Ghaziabad Dwarka Gurgaon Faridabad pollution levels very high medium high low main road centre of Delhi Fig. 3.1 ,show air pollution fine particle area around Delhi one day Rohini Ghaziabad Dwarka Gurgaon Faridabad pollution level high medium high low main road centre Delhi,205
0460_m19_qp_22.pdf,(a),SUB, Describe the distribution of air pollution shown in Fig. 3.1. ,Describe distribution air pollution shown,63
0460_m19_qp_22.pdf,(b),SUB, Fig. 3.2 shows the pattern of air pollution by fine particles in Delhi for the same day. 00:00 06:00 12:00 18:00 24:00 H M M M M M M M M M H H H M M M M M H H H VHVHVH pollution level L low M medium H high VH very high Fig. 3.2 Describe the pattern of air pollution during this day. ,show pattern air pollution fine particle Delhi day 00:00 06:00 12:00 18:00 24:00 VHVHVH pollution level low medium high VH high Describe pattern air pollution day,284
0460_m19_qp_22.pdf,(c),SUB," Vehicles may be an important source of air pollution by fine particles in Delhi. Using Figs. 3.1 and 3.2, give evidence for and against this. Evidence for vehicles being an important source of air pollution. Evidence against vehicles being an important source of air pollution. ",Vehicles may important source air pollution fine particle Delhi Using give evidence Evidence vehicle important source air pollution Evidence vehicle important source air pollution,279
0460_m19_qp_22.pdf,4 ,MAIN,(a) Name the following processes which operate in a drainage basin. Choose your answers from the list below: interception infiltration throughflow groundwater flow overland flow ,Name following process operate drainage basin Choose answer list interception infiltration throughflow groundwater flow overland flow,178
0460_m19_qp_22.pdf,(i),SUB, water moving through the rock …………………………………………… [1] ,water moving rock ……………………………………………,53
0460_m19_qp_22.pdf,(ii),SUB, rain soaking into the ground. …………………………………………… [1] ,rain soaking ground ……………………………………………,53
0460_m19_qp_22.pdf,(b),SUB, Figs. 4.1 and 4.2 (Insert) are photographs which show the same river in Madeira on two different days. ,Insert photograph show river Madeira two different day,104
0460_m19_qp_22.pdf,(i),SUB," Using Fig. 4.1, describe what has been done to the channel of the river to reduce flooding and erosion. ",Using describe done channel river reduce flooding erosion,105
0460_m19_qp_22.pdf,(ii),SUB, Describe and explain the differences in the river and its load on the day shown in Fig. 4.1 and on the other day shown in Fig. 4.2. ,Describe explain difference river load day shown day shown,133
0460_m19_qp_22.pdf,5 ,MAIN,"Study Fig. 5.1, which shows instruments A and B, which are used to measure the weather. Instrument A Instrument B Fig. 5.1 ",Study show instrument used measure weather Instrument Instrument,123
0460_m19_qp_22.pdf,(a),SUB, Name the two weather instruments. ,Name two weather instrument,35
0460_m19_qp_22.pdf,(i),SUB, Instrument A ……………………………...…………… ,Instrument …………………………… ... ……………,34
0460_m19_qp_22.pdf,(ii),SUB, Instrument B ……………………………...…………… [2] ,Instrument …………………………… ... ……………,38
0460_m19_qp_22.pdf,(b),SUB," Using the information shown on Instrument A, state: ",Using information shown Instrument state,53
0460_m19_qp_22.pdf,(i),SUB, the present temperature ,present temperature,25
0460_m19_qp_22.pdf,(ii),SUB, the maximum temperature since the instrument was reset ,maximum temperature since instrument reset,56
0460_m19_qp_22.pdf,(iii),SUB, the minimum temperature since the instrument was reset. ,minimum temperature since instrument reset,57
0460_m19_qp_22.pdf,(c),SUB," Look at the information shown on Instrument B. Does this show that the air is saturated? Tick the correct box below. Tick (✓) air is saturated (relative humidity is 100%) air is unsaturated (relative humidity is less than 100%) Using evidence from Instrument B on Fig. 5.1, explain your choice. ",Look information shown Instrument show air saturated Tick correct box Tick air saturated relative humidity air unsaturated relative humidity le Using evidence Instrument explain choice,296
0460_m19_qp_22.pdf,6 ,MAIN,(a) Fig. 6.1 shows an agricultural system. Inputs Processes Outputs Examples: Examples: Examples: climate harvesting animals for sale machinery sowing meat soil weeding milk Fig. 6.1 Complete Fig. 6.1 by adding each of the following examples in the correct column. crops chemical fertiliser ,show agricultural system Inputs Processes Outputs Examples Examples Examples climate harvesting animal sale machinery sowing meat soil weeding milk Complete adding following example correct column crop chemical fertiliser,291
0460_m19_qp_22.pdf,(b),SUB, Fig. 6.2 (Insert) is a photograph which shows an agricultural area in South Africa. ,Insert photograph show agricultural area South Africa,85
0460_m19_qp_22.pdf,(i),SUB, Describe the fields and land use shown in the photograph. ,Describe field land use shown photograph,59
0460_m20_qp_22.pdf,1 ,MAIN,"Study the map extract for Aywaille, Belgium. The scale is 1:50 000. ",Study map extract Aywaille Belgium scale 1:50,68
0460_m20_qp_22.pdf,(a),SUB," Fig. 1.1 shows some of the features in the north west part of the map extract. Study Fig. 1.1 and the map extract, and answer the questions below. Fig. 1.1 Using the map extract, identify the following features shown in Fig. 1.1: ",show feature north west part map extract Study map extract answer question Using map extract identify following feature shown,231
0460_m20_qp_22.pdf,(i),SUB, the type of road at A ,type road,23
0460_m20_qp_22.pdf,(ii),SUB, feature B ,feature,11
0460_m20_qp_22.pdf,(iii),SUB, feature C ,feature,11
0460_m20_qp_22.pdf,(iv),SUB, the height above sea level at D ,height sea level,33
0460_m20_qp_22.pdf,(v),SUB, the land use at E ,land use,19
0460_m20_qp_22.pdf,(vi),SUB, the height above sea level of the contour at F. ,height sea level contour,49
0460_m20_qp_22.pdf,(b),SUB, Find the motorway that runs from the north edge of the map extract to the south edge of the map extract. ,Find motorway run north edge map extract south edge map extract,106
0460_m20_qp_22.pdf,(i),SUB, Measure the distance along the motorway from the north edge of the map to the south edge of the map. Give your answer in metres. ,Measure distance along motorway north edge map south edge map Give answer metre,130
0460_m20_qp_22.pdf,(ii),SUB, Measure the compass bearing from the point where the motorway meets the north edge of the map to the point where the motorway meets the south edge of the map. ,Measure compass bearing point motorway meet north edge map point motorway meet south edge map,160
0460_m20_qp_22.pdf,(c),SUB, Fig. 1.2 shows an area in the north east of the map at Hestroumont. Fig. 1.3 shows an area in the south east of the map at Haute Desnié. Study the two areas and answer the questions below. Haute DesniØ Hestroumont Fig. 1.2 Fig. 1.3 The table below compares the features of the two areas. Complete the table by putting ticks in the correct five boxes. Use only one tick for each row. Area in Area in Both of Neither of Fig. 1.2 at Fig. 1.3 at these areas these areas Hestroumont Haute Desnié secondary road trees or woodland linear settlement flat land land over 400 m above sea level ,show area north east map Hestroumont show area south east map Haute Desnié Study two area answer question Haute DesniØ Hestroumont table compare feature two area Complete table putting tick correct five box Use one tick row Area Area Neither area area Hestroumont Haute Desnié secondary road tree woodland linear settlement flat land land sea level,585
0460_m20_qp_22.pdf,(d),SUB, Look at the railway in the south west of the map extract. Describe the route of the railway. ,Look railway south west map extract Describe route railway,94
0460_m20_qp_22.pdf,(e),SUB, Fig. 1.4 is a cross section along easting 94 from 940960 in the north to 940920 in the south. The cross section runs through the settlement at Nonceveux. Nonceveux 400 X 400 metres above metres above sea level 200 200 sea level ,cross section along easting north south cross section run settlement Nonceveux Nonceveux metre metre sea level sea level,229
0460_m20_qp_22.pdf,(north),SUB, (south) Fig. 1.4 ,south,18
0460_m20_qp_22.pdf,(i),SUB, Identify the feature at X. ,Identify feature,28
0460_m20_qp_22.pdf,(ii),SUB, Identify the feature at Y. ,Identify feature,28
0460_m20_qp_22.pdf,(iii),SUB, Identify the feature at Z. ,Identify feature,28
0460_m20_qp_22.pdf,(iv),SUB," The cross section shown in Fig. 1.4 is incomplete. Using information from the map extract, draw a line in Fig. 1.4 to complete the cross section. [1] TURN PAGE FOR QUESTION 2 ",cross section shown incomplete Using information map extract draw line complete cross section TURN PAGE QUESTION,176
0460_m20_qp_22.pdf,2 ,MAIN,Fig. 2.1 shows the population densities of countries in Africa. Tropic of Cancer Equator population density ,show population density country Africa Tropic Cancer Equator population density,108
0460_m20_qp_22.pdf,(people per km2),SUB, more than 120 less than 16 SSoouutthh AAffrriiccaa Fig. 2.1 ,le SSoouutthh AAffrriiccaa,61
0460_m20_qp_22.pdf,(a),SUB," (i) State the population density of South Africa, shown in Fig. 2.1. ",State population density South Africa shown,70
